i,date,open,high,low,close,volume
250,2020-05-06,9144528.814804543,10068242.839494864,9022113.703693569,9987632.88887767,14717277861380.729
251,2020-05-07,9987532.87653199,10037199.007396132,9706198.148137245,9801219.877766768,10069622649820.79
252,2020-05-08,9801229.879001336,9915473.981470343,9521175.30863128,9540577.703692986,8196079693475.571
253,2020-05-09,9540277.66665595,9576012.07776702,8118002.098756313,8723846.885175386,18388788143298.21
254,2020-05-10,8723846.885175386,9169131.851841552,8201012.3456697995,8562576.97776816,16882809223327.111
255,2020-05-11,8563097.04196569,8979368.427150408,8529832.935792888,8811877.751841955,8653346189060.231
256,2020-05-12,8812077.776533311,9399160.246903023,8794075.55431111,9310519.304927813,9247768960728.105
257,2020-05-13,9310499.302458677,9940227.03702587,9257902.809866143,9793188.886408752,12958137319546.803
258,2020-05-14,9793178.885174183,9846835.508630915,9151129.62961935,9317570.175298175,11590506901729.152
259,2020-05-15,9317110.118508052,9589183.703692932,9221138.27159458,9382428.181470942,5959498435919.997
260,2020-05-16,9381968.124680819,9889220.740729632,9323250.876532737,9681235.066655792,6865623935555.534
261,2020-05-17,9682305.198754556,9951228.39505055,9465398.423446156,9735131.719742151,8201672785495.516
262,2020-05-18,9735131.719742151,9898431.877766658,9475169.629618986,9776736.855544575,7854945672063.448
263,2020-05-19,9776336.806161856,9843215.061717337,9327151.358014215,9512604.250606598,7493298793412.447
264,2020-05-20,9512604.250606598,9579652.527149731,8816088.271595035,9069769.586409565,10894222896652.812
265,2020-05-21,9068629.445668826,9272144.56789082,8934622.903693667,9171132.09875513,5895040795368.983
266,2020-05-22,9171132.09875513,9308999.117273495,9071119.75307623,9180283.228384748,4353167058286.049
267,2020-05-23,9180143.211100798,9299147.901224121,8701074.0740643,8721416.585175388,7038855532232.217
268,2020-05-24,8719216.313570451,8980768.599989912,8643787.002459425,8901448.808631977,6284166822188.607
269,2020-05-25,8901448.808631977,9018783.292582462,8701074.0740643,8842271.50369377,5830696764042.067
270,2020-05-26,8842091.48147155,9226138.888878524,8812817.867891334,9205206.30492793,6891886296522.061
271,2020-05-27,9205206.30492793,9626658.329618815,9111124.691347789,9577072.208631216,7411993714187.502
272,2020-05-28,9577052.206162082,9606445.83455711,9331151.85184137,9428233.835791878,5738144621562.209
273,2020-05-29,9427763.777767187,9741202.46912486,9332382.00369322,9698917.249371821,5567214479580.66
274,2020-05-30,9698917.249371821,9701197.5308533,9382568.198754892,9449436.453075806,4833975353706.952
275,2020-05-31,9449436.453075806,10381281.48146982,9422833.169125218,10202029.354309527,7665858981509.413
276,2020-06-01,10203969.593815697,10230252.838260112,9267143.950606873,9519215.066655975,10898422633274.807
277,2020-06-02,9519195.064186838,9691196.29628541,9366366.19875491,9667433.362952104,4625835514202.692
278,2020-06-03,9667513.372828646,9882849.954309884,9451166.666656049,9790268.525914928,5746319431473.409
279,2020-06-04,9789348.412334682,9855966.635791397,9582182.83949541,9622347.797520055,4779394980921.175
280,2020-06-05,9622357.798754623,9736201.851840915,9532226.672828797,9667493.37035951,3275699446714.7524
281,2020-06-06,9668043.438260745,9803210.123445777,9373617.09381663,9748193.332087815,5796000305757.502
