index,symbol,date,open,high,low,close,volume
13338,SPX,1959-11-20,56.97,56.97,56.97,56.97,2960000
13339,SPX,1959-11-19,56.94,56.94,56.94,56.94,3230000
13340,SPX,1959-11-18,56.99,56.99,56.99,56.99,3660000
13341,SPX,1959-11-17,56.38,56.38,56.38,56.38,3570000
13342,SPX,1959-11-16,56.22,56.22,56.22,56.22,3710000
13343,SPX,1959-11-13,56.85,56.85,56.85,56.85,3050000
13344,SPX,1959-11-12,57.17,57.17,57.17,57.17,3600000
13345,SPX,1959-11-11,57.49,57.49,57.49,57.49,2820000
13346,SPX,1959-11-10,57.48,57.48,57.48,57.48,3020000
13347,SPX,1959-11-09,57.5,57.5,57.5,57.5,3700000
13348,SPX,1959-11-06,57.6,57.6,57.6,57.6,3450000
13349,SPX,1959-11-05,57.32,57.32,57.32,57.32,3170000
13350,SPX,1959-11-04,57.26,57.26,57.26,57.26,3940000
13351,SPX,1959-11-02,57.41,57.41,57.41,57.41,3320000
13352,SPX,1959-10-30,57.52,57.52,57.52,57.52,3560000
13353,SPX,1959-10-29,57.41,57.41,57.41,57.41,3890000
13354,SPX,1959-10-28,57.46,57.46,57.46,57.46,3920000
13355,SPX,1959-10-27,57.42,57.42,57.42,57.42,4160000
13356,SPX,1959-10-26,56.94,56.94,56.94,56.94,3580000
13357,SPX,1959-10-23,56.56,56.56,56.56,56.56,2880000
13358,SPX,1959-10-22,56.0,56.0,56.0,56.0,3060000
13359,SPX,1959-10-21,56.55,56.55,56.55,56.55,2730000
13360,SPX,1959-10-20,56.66,56.66,56.66,56.66,2740000
13361,SPX,1959-10-19,57.01,57.01,57.01,57.01,2470000
13362,SPX,1959-10-16,57.33,57.33,57.33,57.33,2760000
13363,SPX,1959-10-15,56.87,56.87,56.87,56.87,2190000
13364,SPX,1959-10-14,56.71,56.71,56.71,56.71,2320000
13365,SPX,1959-10-13,57.16,57.16,57.16,57.16,2530000
13366,SPX,1959-10-12,57.32,57.32,57.32,57.32,1750000
13367,SPX,1959-10-09,57.0,57.0,57.0,57.0,2540000
13368,SPX,1959-10-08,56.81,56.81,56.81,56.81,2510000
13369,SPX,1959-10-07,56.94,56.94,56.94,56.94,2380000
13370,SPX,1959-10-06,57.09,57.09,57.09,57.09,2330000
13371,SPX,1959-10-05,57.14,57.14,57.14,57.14,2100000
13372,SPX,1959-10-02,57.2,57.2,57.2,57.2,2270000
13373,SPX,1959-10-01,56.94,56.94,56.94,56.94,2660000
13374,SPX,1959-09-30,56.88,56.88,56.88,56.88,2850000
13375,SPX,1959-09-29,57.51,57.51,57.51,57.51,3220000
13376,SPX,1959-09-28,57.15,57.15,57.15,57.15,2640000
13377,SPX,1959-09-25,56.73,56.73,56.73,56.73,3280000
13378,SPX,1959-09-24,56.78,56.78,56.78,56.78,3480000
13379,SPX,1959-09-23,55.82,55.82,55.82,55.82,3010000
13380,SPX,1959-09-22,55.14,55.14,55.14,55.14,3000000
13381,SPX,1959-09-21,55.27,55.27,55.27,55.27,3240000
13382,SPX,1959-09-18,56.19,56.19,56.19,56.19,2530000
13383,SPX,1959-09-17,56.41,56.41,56.41,56.41,2090000
13384,SPX,1959-09-16,56.72,56.72,56.72,56.72,2180000
13385,SPX,1959-09-15,56.68,56.68,56.68,56.68,2830000
13386,SPX,1959-09-14,56.99,56.99,56.99,56.99,2590000
13387,SPX,1959-09-11,57.41,57.41,57.41,57.41,2640000
13388,SPX,1959-09-10,56.99,56.99,56.99,56.99,2520000
